Date;Open;High;Low;Close;Adj Close;Volume
Nov 12, 2025;103011.44;105297.23;100836.62;101663.19;101663.19;64347179408
Nov 11, 2025;105996.86;107428.26;102457.33;102997.47;102997.47;71130078574
Nov 10, 2025;104723.77;106564.7;104350.65;105996.59;105996.59;69585887229
Nov 9, 2025;102278.98;105418.37;101468.88;104719.64;104719.64;59679243013
Nov 8, 2025;103371.7;103373.56;101458.04;102282.12;102282.12;51446691095
Nov 7, 2025;101286.24;104052.91;99257.05;103372.41;103372.41;92168030081
Nov 6, 2025;103893.66;104147.3;100336.87;101301.29;101301.29;63932752861
Nov 5, 2025;101579.23;104534.7;98989.91;103891.84;103891.84;77584934804
Nov 4, 2025;106541.42;107264.88;98962.06;101590.52;101590.52;110967184773
Nov 3, 2025;110646.91;110764.91;105336.36;106547.52;106547.52;72852006359
Nov 2, 2025;110064.43;111167.31;109523.45;110639.63;110639.63;34284209459
Nov 1, 2025;109558.63;110574.9;109372.95;110064.02;110064.02;25871668762
Oct 31, 2025;108304.41;111031.82;108288.27;109556.16;109556.16;60090359560
Oct 30, 2025;110059.2;111612.35;106376.69;108305.55;108305.55;69673964814
Oct 29, 2025;112921.33;113642.73;109368.72;110055.3;110055.3;62192043469
Oct 28, 2025;114129.09;116078.98;112291.68;112956.16;112956.16;64528066504
Oct 27, 2025;114479.85;116273.31;113882.29;114119.33;114119.33;61761358733
Oct 26, 2025;111639.05;115260.91;111268.48;114472.45;114472.45;41708524143
Oct 25, 2025;111032.62;111947.7;110704.41;111641.73;111641.73;24707667305
Oct 24, 2025;110069.35;111842.53;109770.15;111033.92;111033.92;48160816980
Oct 23, 2025;107679.44;111288.59;107548.43;110069.73;110069.73;54944076060
Oct 22, 2025;108491.53;109115.13;106778.0;107688.59;107688.59;80807013218
Oct 21, 2025;110587.63;113996.34;107534.75;108476.89;108476.89;101194375480
Oct 20, 2025;108667.45;111711.03;107485.02;110588.93;110588.93;63507793085
Oct 19, 2025;107204.31;109488.99;106157.79;108666.71;108666.71;47657008953
Oct 18, 2025;106483.73;107490.98;106387.45;107198.27;107198.27;37779905278
Oct 17, 2025;108179.13;109235.8;103598.43;106467.79;106467.79;99703051669
Oct 16, 2025;110782.17;111990.81;107537.03;108186.04;108186.04;87306423067
Oct 15, 2025;113113.97;113622.38;110235.84;110783.16;110783.16;72574132855
Oct 14, 2025;115264.88;115502.88;110029.48;113118.66;113118.66;92212917403
Oct 13, 2025;115161.68;116020.48;113821.19;115271.08;115271.08;71582026739
Oct 12, 2025;110811.52;115805.06;109715.54;115169.77;115169.77;93710414091
Oct 11, 2025;113236.43;113429.73;109760.56;110807.88;110807.88;110236934340
Oct 10, 2025;121704.74;122509.66;104582.41;113214.37;113214.37;153125018868
Oct 9, 2025;123337.07;123739.34;119812.03;121705.59;121705.59;74653009425
Oct 8, 2025;121448.35;124167.09;121119.18;123354.87;123354.87;65354305286
Oct 7, 2025;124752.14;125184.02;120681.97;121451.38;121451.38;76149412513
Oct 6, 2025;123510.45;126198.07;123196.05;124752.53;124752.53;72568881188
Oct 5, 2025;122419.67;125559.21;122191.96;123513.48;123513.48;73689317763
